"file","line","event","code"
"config.js","36","dispatchEvent","window.dispatchEvent("
"config.js","37","CustomEvent:realtime:down","new CustomEvent(""realtime:down"", {"
"html\dashboard\dashboard-custodia.html","207","DOMContentLoaded","document.addEventListener(""DOMContentLoaded"", () => {"
"html\dashboard\dashboard-custodia.html","211","click","btn.addEventListener(""click"", () => {"
"html\dashboard\dashboard-custodia.html","218","dispatchEvent","target.dispatchEvent(evt);"
"html\dashboard\mapa-resguardo.html","166","DOMContentLoaded","document.addEventListener('DOMContentLoaded', async () => {"
"html\dashboard\mapa-resguardo.html","193","DOMContentLoaded","document.addEventListener('DOMContentLoaded', async () => {"
"html\dashboard\mapa-resguardo.html","313","click","btn.addEventListener('click', () => openEdit(c));"
"html\dashboard\mapa-resguardo.html","343","input","document.addEventListener('input', (event) => {"
"html\dashboard\mapa-resguardo.html","348","change","document.addEventListener('change', (event) => {"
"html\dashboard\mapa-resguardo.html","438","input","amNombre.addEventListener('input', () => syncTextfield(amNombre));"
"html\dashboard\mapa-resguardo.html","439","change","amTipo.addEventListener('change', () => syncTextfield(amTipo));"
"html\dashboard\mapa-resguardo.html","441","click","amStart.addEventListener('click', async () => {"
"html\dashboard\mapa-resguardo.html","458","click","amShot.addEventListener('click', () => {"
"html\dashboard\mapa-resguardo.html","475","click","amReset.addEventListener('click', () => {"
"html\dashboard\mapa-resguardo.html","511","click","amSave.addEventListener('click', saveAndClose);"
"html\dashboard\mapa-resguardo.html","512","click","amCancel.addEventListener('click', cleanup);"
"html\dashboard\mapa-resguardo.html","518","click","try { document.getElementById('custodios-add')?.addEventListener('click', openAdd); } catch { }"
"html\dashboard\mapa-resguardo.html","520","click","mobileBtn?.addEventListener('click', openCustodiosSidebar);"
"html\dashboard\mapa-resguardo.html","521","click","closeBtn?.addEventListener('click', closeCustodiosSidebar);"
"html\dashboard\mapa-resguardo.html","522","click","overlayEl?.addEventListener('click', closeCustodiosSidebar);"
"html\dashboard\mapa-resguardo.html","523","resize","window.addEventListener('resize', () => {"
"html\dashboard\mapa-resguardo.html","600","input","emNombre.addEventListener('input', () => syncTextfield(emNombre));"
"html\dashboard\mapa-resguardo.html","601","change","if (emTipo) emTipo.addEventListener('change', () => syncTextfield(emTipo));"
"html\dashboard\mapa-resguardo.html","603","click","emStart.addEventListener('click', async () => {"
"html\dashboard\mapa-resguardo.html","620","click","emShot.addEventListener('click', () => {"
"html\dashboard\mapa-resguardo.html","637","click","emReset.addEventListener('click', () => {"
"html\dashboard\mapa-resguardo.html","673","click","emSave.addEventListener('click', saveAndClose);"
"html\dashboard\mapa-resguardo.html","674","click","emCancel.addEventListener('click', cleanup);"
"js\dashboard\admin-clientes-rutas.js","20","DOMContentLoaded","document.addEventListener(""DOMContentLoaded"", init);"
"js\dashboard\admin-clientes-rutas.js","77","click","ui.btnNuevoCliente?.addEventListener(""click"", () => {"
"js\dashboard\admin-clientes-rutas.js","85","click","btn.addEventListener(""click"", () => ui.modalCliente.close())"
"js\dashboard\admin-clientes-rutas.js","87","submit","ui.modalCliente?.addEventListener(""submit"", handleNuevoCliente);"
"js\dashboard\admin-clientes-rutas.js","91","click","btn.addEventListener(""click"", () => ui.modalConfirm.close())"
"js\dashboard\admin-clientes-rutas.js","93","submit","ui.modalConfirm?.addEventListener(""submit"", handleConfirmAction);"
"js\dashboard\admin-clientes-rutas.js","97","click","btn.addEventListener(""click"", () => ui.modalIA.close())"
"js\dashboard\admin-clientes-rutas.js","99","close","ui.modalIA?.addEventListener(""close"", () => {"
"js\dashboard\admin-clientes-rutas.js","109","click","ui.btnLimpiarRuta?.addEventListener(""click"", clearRuta);"
"js\dashboard\admin-clientes-rutas.js","110","click","ui.btnLimpiarRutaModal?.addEventListener(""click"", clearRuta);"
"js\dashboard\admin-clientes-rutas.js","111","click","ui.btnGuardarRuta?.addEventListener(""click"", handleGuardarRuta);"
"js\dashboard\admin-clientes-rutas.js","112","click","ui.btnGuardarRutaModal?.addEventListener(""click"", handleGuardarRuta);"
"js\dashboard\admin-clientes-rutas.js","113","click","ui.btnGenerarRuta?.addEventListener(""click"", openIaModal);"
"js\dashboard\admin-clientes-rutas.js","114","click","ui.btnIaRun?.addEventListener(""click"", handleIaGenerate);"
"js\dashboard\admin-clientes-rutas.js","115","click","ui.btnIaApply?.addEventListener(""click"", applyIaRoute);"
"js\dashboard\admin-clientes-rutas.js","116","click","ui.btnExpandMap?.addEventListener(""click"", openMapModal);"
"js\dashboard\admin-clientes-rutas.js","119","click",".forEach((btn) => btn.addEventListener(""click"", closeMapModal));"
"js\dashboard\admin-clientes-rutas.js","120","close","ui.modalMap?.addEventListener(""close"", handleMapModalClose);"
"js\dashboard\admin-clientes-rutas.js","121","input","ui.rutaNombre?.addEventListener(""input"", () => updateRouteActions());"
"js\dashboard\admin-clientes-rutas.js","232","click","item.addEventListener(""click"", () => selectCliente(cliente));"
"js\dashboard\admin-clientes-rutas.js","294","click","btn.addEventListener(""click"", () => mostrarRutaEnMapa(ruta));"
"js\dashboard\admin-clientes-rutas.js","296","click","btn.addEventListener(""click"", () => cargarRutaEnFormulario(ruta));"
"js\dashboard\admin-clientes-rutas.js","298","click","btn.addEventListener(""click"", () => confirmarEliminarRuta(ruta));"
"js\dashboard\admin-custodias.js","17","DOMContentLoaded","document.addEventListener(""DOMContentLoaded"", init);"
"js\dashboard\admin-custodias.js","48","change","ui.fEstado?.addEventListener(""change"", () => {"
"js\dashboard\admin-custodias.js","52","change","ui.fEmpresa?.addEventListener(""change"", () => {"
"js\dashboard\admin-custodias.js","65","click",".forEach((btn) => btn.addEventListener(""click"", () => ui.modalDetalle.close()));"
"js\dashboard\admin-custodias.js","134","click","tr.querySelector('[data-action=""detalle""]')?.addEventListener(""click"", () => abrirDetalle(row));"
"js\dashboard\admin-custodias.js","135","click","tr.querySelector('[data-action=""toggle""]')?.addEventListener(""click"", () => toggleEstado(row));"
"js\dashboard\custodia-registros.js","55","DOMContentLoaded","document.addEventListener(""DOMContentLoaded"", init);"
"js\dashboard\custodia-registros.js","107","input","ui.clienteSearchInput?.addEventListener(""input"", handleClienteSearchInput);"
"js\dashboard\custodia-registros.js","108","focus","ui.clienteSearchInput?.addEventListener(""focus"", () => {"
"js\dashboard\custodia-registros.js","111","keydown","ui.clienteSearchInput?.addEventListener(""keydown"", handleClienteSearchKey);"
"js\dashboard\custodia-registros.js","112","click","ui.clienteResults?.addEventListener(""click"", handleClienteResultClick);"
"js\dashboard\custodia-registros.js","113","click","ui.clienteClear?.addEventListener(""click"", handleClienteClear);"
"js\dashboard\custodia-registros.js","114","click","ui.clienteAddBtn?.addEventListener(""click"", openNewClienteModal);"
"js\dashboard\custodia-registros.js","115","click","document.addEventListener(""click"", handleClienteSearchBlur, true);"
"js\dashboard\custodia-registros.js","116","keydown","document.addEventListener(""keydown"", handleEscapeClose);"
"js\dashboard\custodia-registros.js","119","click",".forEach((el) => el.addEventListener(""click"", closeRouteModal));"
