"file","line","code"
"html\dashboard\mapa-resguardo.html","280","const res = await fetch(dataUrl);"
"js\dashboard\admin-clientes-rutas.js","638","const res = await fetch(url, {"
"js\dashboard\dashboard-custodia.js","434","const res = await fetch("
"js\dashboard\dashboard-custodia.js","1396","const res = await fetch(url, { cache: ""no-store"" });"
"js\lib\app-header.js","7","const resp = await fetch(""/html/partials/app-header.html"", {"
"js\lib\router-local.js","118","const res = await fetch(url, { signal: ctrl.signal, cache: ""no-store"" });"
"js\mapa.js","808","const res = await fetch(url, {"
"modules\alarma\alarma.js","882","const res = await fetch(endpoint, {"
"modules\alarma\alarma.js","1974","const resp = await fetch(url);"
"modules\alarma\alarma.js","2038","return fetch(CHECKIN_AUDIO_URL, { cache: ""force-cache"" })"
"netlify\functions\checkin-scheduler.js","154","const response = await fetch(PUSH_URL, {"
"netlify\functions\ruta-ai-helper.js","65","const response = await fetch("
"netlify\functions\ruta-ai-helper.js","190","const res = await fetch(`${MODELS_ENDPOINT}?key=${GEMINI_API_KEY}`);"
"service-worker.js","189","const fresh = await fetch(req);"
"service-worker.js","217","const fresh = await fetch(req);"
"service-worker.js","242","const fresh = await fetch(req, { cache: ""no-store"" });"
