"file","line","symbol","kind"
"config.js","24","disableRealtime","function"
"js\dashboard\admin-clientes-rutas.js","22","init","function"
"js\dashboard\admin-clientes-rutas.js","38","mapUI","function"
"js\dashboard\admin-clientes-rutas.js","76","bindEvents","function"
"js\dashboard\admin-clientes-rutas.js","124","setupMap","function"
"js\dashboard\admin-clientes-rutas.js","148","moveMapToHost","function"
"js\dashboard\admin-clientes-rutas.js","162","openMapModal","function"
"js\dashboard\admin-clientes-rutas.js","175","closeMapModal","function"
"js\dashboard\admin-clientes-rutas.js","181","handleMapModalClose","function"
"js\dashboard\admin-clientes-rutas.js","186","loadClientes","function"
"js\dashboard\admin-clientes-rutas.js","211","renderClientes","function"
"js\dashboard\admin-clientes-rutas.js","237","selectCliente","function"
"js\dashboard\admin-clientes-rutas.js","246","loadRutasCliente","function"
"js\dashboard\admin-clientes-rutas.js","264","renderTablaRutas","function"
"js\dashboard\admin-clientes-rutas.js","304","mostrarRutaEnMapa","function"
"js\dashboard\admin-clientes-rutas.js","320","cargarRutaEnFormulario","function"
"js\dashboard\admin-clientes-rutas.js","329","clearRuta","function"
"js\dashboard\admin-clientes-rutas.js","341","refreshPolyline","function"
"js\dashboard\admin-clientes-rutas.js","350","updateRouteActions","function"
"js\dashboard\admin-clientes-rutas.js","360","setGuardarButtonsDisabled","function"
"js\dashboard\admin-clientes-rutas.js","366","setLimpiarButtonsDisabled","function"
"js\dashboard\admin-clientes-rutas.js","372","toggleRouteActionBlocks","function"
"js\dashboard\admin-clientes-rutas.js","380","handleNuevoCliente","function"
"js\dashboard\admin-clientes-rutas.js","405","handleGuardarRuta","function"
"js\dashboard\admin-clientes-rutas.js","455","buildRutaPayload","function"
"js\dashboard\admin-clientes-rutas.js","475","confirmarEliminarRuta","function"
"js\dashboard\admin-clientes-rutas.js","482","handleConfirmAction","function"
"js\dashboard\admin-clientes-rutas.js","506","openIaModal","function"
"js\dashboard\admin-clientes-rutas.js","519","handleIaGenerate","function"
"js\dashboard\admin-clientes-rutas.js","555","applyIaRoute","function"
"js\dashboard\admin-clientes-rutas.js","576","appendIaMessage","function"
"js\dashboard\admin-clientes-rutas.js","583","renderIaHistory","function"
"js\dashboard\admin-clientes-rutas.js","600","setIaLoading","function"
"js\dashboard\admin-clientes-rutas.js","605","buildIaContext","function"
