"file","line","code"
"html\dashboard\custodia-registros.html","90","<button class=""topbar__cta"" onclick=""location.href='/html/dashboard/dashboard-custodia.html'"">"
"html\dashboard\dashboard-custodia.html","42","<a href=""./custodia-registros.html"" class=""dc-back"" aria-label=""Volver"">"
"html\index.html","7","<meta http-equiv=""refresh"" content=""0; url=login/login.html"">"
"html\index.html","11","<a href=""login/login.html"">Ir al login</a>"
"html\login\login.html","62","<a class=""pin-link"" href=""./registro-custodia.html"">Crear PIN</a>"
"html\login\registro-custodia.html","51","<a href=""./login.html"" class=""dc-back"" aria-label=""Volver"">"
"html\partials\app-header.html","11","<a data-nav-key=""servicios"" href=""/html/dashboard/dashboard-admin.html"">Servicios</a>"
"html\partials\app-header.html","12","<a data-nav-key=""rutas"" href=""/html/dashboard/admin-clientes-rutas.html"">Clientes & Rutas</a>"
"html\partials\app-header.html","13","<a data-nav-key=""custodias"" href=""/html/dashboard/admin-custodias.html"">Custodias</a>"
"html\partials\app-header.html","18","<a id=""app-header-home"" class=""app-header-link"" href=""/html/index.html"">Inicio</a>"
"html\partials\app-header.html","19","<a id=""app-header-logout"" class=""app-header-link app-header-link--danger"" href=""#"">Salir</a>"
"js\dashboard\custodia-registros.js","957","window.location.href = ""/html/login/login.html"";"
"js\dashboard\custodia-registros.js","1009","location.href = ""/html/dashboard/mapa-resguardo.html"";"
"js\dashboard\dashboard-custodia.js","671","window.location.href = ""/html/dashboard/mapa-resguardo.html"";"
"js\dashboard\dashboard-custodia.js","933","window.location.href = ""/html/login/login.html"";"
"js\guard.js","42","if (location.pathname !== LOGIN_URL) location.replace(LOGIN_URL);"
"js\guard.js","90","location.href = pathForRole(role);"
"js\lib\app-header.js","55","window.location.href = ""/html/login/login.html"";"
"js\login\login.js","38","window.location.href = target;"
"js\mapa.js","54","location.replace(DASHBOARD_URL);"
"js\mapa.js","71","location.replace(DASHBOARD_URL);"
"js\mapa.js","77","location.replace(DASHBOARD_URL);"
"js\mapa.js","85","location.replace(DASHBOARD_URL);"
"js\mapa.js","91","location.replace(DASHBOARD_URL);"
"js\mapa.js","1877","location.replace(""/html/dashboard/custodia-registros.html"");"
"js\mapa.js","2005","location.href = DASHBOARD_URL;"
"js\registro-custodia.js","313","window.location.href = ""./login.html"";"
