"file","line","code"
"js\dashboard\custodia-registros.js","133","const raw = localStorage.getItem(STORAGE_PROFILE_KEY);"
"js\dashboard\custodia-registros.js","138","localStorage.removeItem(STORAGE_PROFILE_KEY);"
"js\dashboard\custodia-registros.js","992","window.localStorage.setItem(key, JSON.stringify(fallback));"
"js\dashboard\custodia-registros.js","1005","sessionStorage.setItem(""servicio_id_actual"", servicioId);"
"js\dashboard\dashboard-admin.js","553","localStorage.setItem(SIDEBAR_KEY, String(v));"
"js\dashboard\dashboard-admin.js","558","const saved = parseInt(localStorage.getItem(SIDEBAR_KEY), 10);"
"js\dashboard\dashboard-admin.js","721","return localStorage.getItem(""admin.debug"") === ""true"";"
"js\dashboard\dashboard-custodia.js","112","const raw = localStorage.getItem(STORAGE_PROFILE_KEY);"
"js\dashboard\dashboard-custodia.js","116","localStorage.removeItem(STORAGE_PROFILE_KEY);"
"js\dashboard\dashboard-custodia.js","661","localStorage.setItem(SESSION_FALLBACK_KEY, JSON.stringify(fallback));"
"js\dashboard\dashboard-custodia.js","669","sessionStorage.setItem(""servicio_id_actual"", servicioId);"
"js\guard.js","40","sessionStorage.clear();"
"js\guard.js","47","const r = (sessionStorage.getItem(""auth_role"") || """").toUpperCase();"
"js\guard.js","74","const sid = sessionStorage.getItem(""servicio_id_actual"");"
"js\guard.js","89","const role = (sessionStorage.getItem(""auth_role"") || """").toUpperCase();"
"js\lib\app-header.js","20","const role = (sessionStorage.getItem(""auth_role"") || """").toUpperCase();"
"js\lib\app-header.js","21","const emp = sessionStorage.getItem(""auth_empresa"") || """";"
"js\lib\app-header.js","79","const roleScope = (sessionStorage.getItem(""auth_role"") || """").toLowerCase();"
"js\lib\custodia-session.js","15","const data = safeParse(global.localStorage.getItem(KEY));"
"js\lib\custodia-session.js","34","global.localStorage.setItem(KEY, JSON.stringify(data));"
"js\lib\custodia-session.js","45","global.localStorage.setItem(KEY, JSON.stringify(current));"
"js\lib\custodia-session.js","52","global.localStorage.removeItem(KEY);"
"js\lib\router-local.js","35","const stored = localStorage.getItem(OSRM_STORAGE_KEY);"
"js\lib\router-local.js","50","localStorage.setItem(OSRM_STORAGE_KEY, url);"
"js\lib\router-local.js","57","return sessionStorage.getItem(OSRM_LOCAL_DOWN) === ""1"";"
"js\lib\router-local.js","68","sessionStorage.setItem(OSRM_LOCAL_DOWN, ""1"");"
"js\lib\router-local.js","76","sessionStorage.removeItem(OSRM_LOCAL_DOWN);"
"js\login\login.js","27","localStorage.setItem(CUSTODIA_PROFILE_KEY, JSON.stringify(payload));"
"js\login\login.js","252","sessionStorage.setItem(CUSTODIA_SESSION_KEY, ""CUSTODIA"");"
"js\login\login.js","253","sessionStorage.setItem(""auth_empresa"", profile.empresa_label || """");"
"js\login\login.js","254","localStorage.setItem(""custodia_is_logged"", ""true"");"
"js\login\login.js","303","sessionStorage.setItem(CUSTODIA_SESSION_KEY, role);"
"js\login\login.js","304","sessionStorage.setItem(""auth_usuario_id"", row.id || """");"
"js\mapa.js","51","const servicioId = sessionStorage.getItem(""servicio_id_actual"");"
"js\mapa.js","281","sessionStorage.getItem(""auth_empresa"") || """""
"modules\alarma\alarma.js","496","const stored = global.localStorage.getItem(STORAGE_QUEUE);"
"modules\alarma\alarma.js","509","global.localStorage.setItem(STORAGE_QUEUE, JSON.stringify(state.queue));"
"modules\alarma\alarma.js","579","const raw = global.localStorage.getItem(STORAGE_FLAGS);"
"modules\alarma\alarma.js","592","global.localStorage.setItem(STORAGE_FLAGS, JSON.stringify(arr));"
"modules\alarma\alarma.js","1939","global.localStorage.setItem(STORAGE_PUSH, JSON.stringify(payload));"
