"file","line","kind","target","snippet"
"js\dashboard\dashboard-admin.js","2475","channel","rt-servicio-admin"," {       rtServicio = window.sb         .channel(""rt-servicio-admin"")         .on(           ""postgres_changes"",        "
"js\dashboard\dashboard-admin.js","2487","channel","rt-ubicacion-admin","{       rtUbicacion = window.sb         .channel(""rt-ubicacion-admin"")         .on(           ""postgres_changes"",       "
"modules\alarma\alarma.js","542","from","alarm_event","err, status } = await client            .from(""alarm_event"")            .insert(insertPayload);          if (err) {     "
"modules\alarma\alarma.js","744","from","alarm_event","sText,        } = await client          .from(""alarm_event"")          .insert(dbRecord)          .select(""*"")          ."
"netlify\functions\checkin-scheduler.js","42","from","alarm_event","st { data, error } = await supabase     .from(""alarm_event"")     .select(""servicio_id, metadata, created_at"")     .eq(""t"
"netlify\functions\checkin-scheduler.js","60","from","alarm_event"," sinceIso) {   let query = supabase     .from(""alarm_event"")     .select(""created_at"")     .eq(""servicio_id"", servicioId"
"netlify\functions\checkin-scheduler.js","94","from","alarm_event","   };   const { error } = await supabase.from(""alarm_event"").insert(payload);   if (error) console.error(""[checkin] inse"
"netlify\functions\checkin-scheduler.js","113","from","alarm_event","   };   const { error } = await supabase.from(""alarm_event"").insert(payload);   if (error) console.error(""[checkin] inse"
"netlify\functions\push-cron-checkin.js","62","from","alarm_event","ror: remErr } = await supabase          .from(""alarm_event"")          .select(""id, created_at"")          .eq(""servicio_i"
"netlify\functions\push-cron-checkin.js","115","from","alarm_event","     );        }          await supabase.from(""alarm_event"").insert({          type: ""checkin_reminder"",          servic"
"netlify\functions\ruta-desvio-handler.js","201","from","alarm_event"," { data, error } = await supabase       .from(""alarm_event"")       .select(""id, created_at, metadata"")       .eq(""servic"
"netlify\functions\ruta-desvio-handler.js","245","from","alarm_event","  };    const { error } = await supabase.from(""alarm_event"").insert(payload);   if (error) {     console.error(""[ruta-de"
"netlify\functions\ruta-desvio-handler.js","257","from","alarm_event","st { data, error } = await supabase     .from(""alarm_event"")     .select(""metadata"")     .eq(""id"", eventId)     .maybeSi"
"netlify\functions\ruta-desvio-handler.js","272","from","alarm_event","   const updateRes = await supabase     .from(""alarm_event"")     .update({ metadata })     .eq(""id"", eventId);   if (upd"
"js\dashboard\admin-clientes-rutas.js","191","from","cliente","y {       let query = window.sb         .from(""cliente"")         .select(""id,nombre,created_at"")         .order(""nombre"""
"js\dashboard\admin-clientes-rutas.js","387","from","cliente","data, error } = await window.sb         .from(""cliente"")         .insert({ nombre })         .select(""id,nombre,created_"
"js\dashboard\custodia-registros.js","277","from","cliente","ata, error } = await window.sb          .from(""cliente"")          .insert({ nombre })          .select(""id, nombre"")    "
"js\dashboard\dashboard-custodia.js","1030","from","cliente","data, error } = await window.sb         .from(""cliente"")         .select(""id,nombre"")         .ilike(""nombre_upper"", pat"
"js\dashboard\dashboard-custodia.js","1235","from","cliente","data, error } = await window.sb         .from(""cliente"")         .insert({ nombre })         .select(""id,nombre"")       "
"js\dashboard\dashboard-custodia.js","1279","from","cliente","data, error } = await window.sb         .from(""cliente"")         .select(""id,nombre"")         .eq(""nombre_upper"", normal"
"js\dashboard\dashboard-custodia.js","1354","from","cliente","ta, error } = await window.sb           .from(""cliente"")           .select(""id,nombre"")           .eq(""nombre_upper"", no"
"js\dashboard\admin-custodias.js","73","from","custodia","y {       let query = window.sb         .from(""custodia"")         .select(           ""id,nombre,dni,empresa,empresa_otro"
"js\dashboard\admin-custodias.js","177","from","custodia","nst { error } = await window.sb         .from(""custodia"")         .update({ is_active: nuevoEstado })         .eq(""id"", "
"js\dashboard\custodia-registros.js","853","from","custodia","{ data, error } = await window.sb       .from(""custodia"")       .select(""id"")       .eq(""id"", id)       .maybeSingle(); "
"js\login\login.js","218","from","custodia","{ data, error } = await window.sb       .from(""custodia"")       .select(""id,nombre,empresa,empresa_otro,dni,dni_last4,is"
"js\registro-custodia.js","357","from","custodia","{ data, error } = await window.sb       .from(""custodia"")       .insert(         {           nombre: payload.nombre,    "
"js\login\login.js","191","from","custodia_login","{ data, error } = await window.sb       .from(""custodia_login"")       .select(""custodia_id,pin_last4"")       .eq(""pin_la"
"js\registro-custodia.js","378","from","custodia_login","const { error } = await window.sb       .from(""custodia_login"")       .insert({         custodia_id: custodia.id,       "
"modules\alarma\alarma.js","1901","from","push_subscription","data, error } = await client            .from(""push_subscription"")            .upsert(payload, { onConflict: ""endpoint"" "
"modules\alarma\alarma.js","1920","from","push_subscription",": verifyErr } = await client            .from(""push_subscription"")            .select(""id,is_active,last_seen_at"")      "
"netlify\functions\push-send.js","182","from","push_subscription","ds.length) {      await supabase        .from(""push_subscription"")        .update({ last_seen_at: nowIso, is_active: tru"
