"archivo_original","linea","funcion","responsabilidad_legacy","modulo_destino","tipo_migracion","nueva_ubicacion","dependencias","eventos_dom","eventos_custom","supabase_objetivos","supabase_operaciones","relacion_modulos"
"config.js","24","disableRealtime","Autenticacion y sesion","ADMIN DASHBOARD","Service Layer","operations-platform/services/supabase/src/admin/disable-realtime.service.ts","Supabase Client; Supabase Query Builder","","realtime:down","from:usuario","select","ADMIN DASHBOARD"
"js\dashboard\admin-custodias.js","19","init","Persistencia y consultas de datos","ADMIN DASHBOARD","Zustand Store","operations-platform/modules/admin-dashboard/src/stores/use-admin-store.ts","Supabase Client","","","","","ADMIN DASHBOARD; CUSTODIA MOBILE"
"js\dashboard\admin-custodias.js","32","mapUI","UI y experiencia de usuario","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/map-ui.tsx","","","","","","ADMIN DASHBOARD; CUSTODIA MOBILE; MAP SYSTEM"
"js\dashboard\admin-custodias.js","47","bindEvents","UI y experiencia de usuario","ADMIN DASHBOARD","React Hook","operations-platform/modules/admin-dashboard/src/hooks/use-bind-events.ts","","change; click; input","","","","ADMIN DASHBOARD; CUSTODIA MOBILE"
"js\dashboard\admin-custodias.js","68","loadCustodias","Persistencia y consultas de datos","ADMIN DASHBOARD","Service Layer","operations-platform/services/supabase/src/admin/load-custodias.service.ts","Supabase Client; Supabase Query Builder","","","from:custodia","eq; order; select","ADMIN DASHBOARD; CUSTODIA MOBILE"
"js\dashboard\admin-custodias.js","105","renderTabla","UI y experiencia de usuario","ADMIN DASHBOARD","React Hook","operations-platform/modules/admin-dashboard/src/hooks/use-render-tabla.ts","","click","","","","ADMIN DASHBOARD; CUSTODIA MOBILE"
"js\dashboard\admin-custodias.js","140","buildThumb","Utilidad y control de flujo","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/build-thumb.ts","","","","","","ADMIN DASHBOARD; CUSTODIA MOBILE"
"js\dashboard\admin-custodias.js","149","buildSelfieSrc","Utilidad y control de flujo","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/build-selfie-src.ts","","","","","","ADMIN DASHBOARD; CUSTODIA MOBILE"
"js\dashboard\admin-custodias.js","155","abrirDetalle","Autenticacion y sesion","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/abrir-detalle.ts","","","","","","ADMIN DASHBOARD; CUSTODIA MOBILE"
"js\dashboard\admin-custodias.js","173","toggleEstado","Persistencia y consultas de datos","ADMIN DASHBOARD","Service Layer","operations-platform/services/supabase/src/admin/toggle-estado.service.ts","Supabase Client; Supabase Query Builder","","","from:custodia","eq; update","ADMIN DASHBOARD; CUSTODIA MOBILE"
"js\dashboard\admin-custodias.js","189","formatEmpresa","Utilidad y control de flujo","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/format-empresa.tsx","","","","","","ADMIN DASHBOARD; CUSTODIA MOBILE"
"js\dashboard\admin-custodias.js","195","formatDate","Utilidad y control de flujo","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/format-date.tsx","","","","","","ADMIN DASHBOARD; CUSTODIA MOBILE"
"js\dashboard\admin-custodias.js","207","toBase64","Utilidad y control de flujo","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/to-base64.ts","","","","","","ADMIN DASHBOARD; CUSTODIA MOBILE"
"js\dashboard\admin-custodias.js","225","debounce","Utilidad y control de flujo","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/debounce.ts","Timers","","","","","ADMIN DASHBOARD; CUSTODIA MOBILE"
"js\dashboard\admin-custodias.js","233","showMsg","UI y experiencia de usuario","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/show-msg.tsx","","","","","","ADMIN DASHBOARD; CUSTODIA MOBILE"
"js\dashboard\dashboard-admin.js","101","ensureAudioCtx","Utilidad y control de flujo","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/ensure-audio-ctx.ts","Web Audio/Speech","","","","","ADMIN DASHBOARD"
"js\dashboard\dashboard-admin.js","109","unlockAudio","Mapa, ruta y tracking","ADMIN DASHBOARD","React Hook","operations-platform/modules/admin-dashboard/src/hooks/use-unlock-audio.ts","Supabase Client","keydown; pointerdown","","","","ADMIN DASHBOARD; MAP SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","176","cleanupMarkersChannel","Utilidad y control de flujo","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/cleanup-markers-channel.ts","Supabase Client","","","","","ADMIN DASHBOARD"
"js\dashboard\dashboard-admin.js","191","ensureMarkersChannel","Mapa, ruta y tracking","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/ensure-markers-channel.tsx","Supabase Client; Supabase Query Builder","","","","","ADMIN DASHBOARD; MAP SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","229","scheduleMarkersRefresh","Utilidad y control de flujo","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/schedule-markers-refresh.ts","Timers","","","","","ADMIN DASHBOARD"
"js\dashboard\dashboard-admin.js","239","refreshMarkersState","Mapa, ruta y tracking","ADMIN DASHBOARD","Zustand Store","operations-platform/modules/admin-dashboard/src/stores/use-admin-store.ts","Supabase Client; Supabase Query Builder","","","","","ADMIN DASHBOARD; MAP SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","311","fetchMarkerDataset","Mapa, ruta y tracking","ADMIN DASHBOARD","Service Layer","operations-platform/services/supabase/src/admin/fetch-marker-dataset.service.ts","Supabase Client; Supabase Query Builder","","","from:v_ultimo_ping_por_custodia","eq; select","ADMIN DASHBOARD; CUSTODIA MOBILE; MAP SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","358","fetchCustodiosMetaByIds","Mapa, ruta y tracking","ADMIN DASHBOARD","Service Layer","operations-platform/services/supabase/src/admin/fetch-custodios-meta-by-ids.service.ts","Supabase Client; Supabase Query Builder","beforeunload","","from:servicio_custodio","in; select","ADMIN DASHBOARD; MAP SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","385","showPanel","Alarmas y check-in","ADMIN DASHBOARD","React Hook","operations-platform/modules/admin-dashboard/src/hooks/use-show-panel.ts","Timers; window.Alarma","click; visibilitychange","","","","ADMIN DASHBOARD; ALARM SYSTEM"
"js\dashboard\dashboard-admin.js","478","openFiltersDrawer","Mapa, ruta y tracking","ADMIN DASHBOARD","React Hook","operations-platform/modules/admin-dashboard/src/hooks/use-open-filters-drawer.ts","Timers","transitionend","","","","ADMIN DASHBOARD; MAP SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","501","closeFiltersDrawer","Mapa, ruta y tracking","ADMIN DASHBOARD","React Hook","operations-platform/modules/admin-dashboard/src/hooks/use-close-filters-drawer.ts","Timers","resize; transitionend","","","","ADMIN DASHBOARD; MAP SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","546","clamp","Utilidad y control de flujo","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/clamp.ts","","","","","","ADMIN DASHBOARD"
